metric,algorithm,mean,median,std,ci_low,ci_high
function_recovery_rmse,random,0.9685539428201145,0.9073610495883198,0.2674909005762089,0.8728335533737799,1.0642743322664492
function_recovery_rmse,uncertainty,0.8879448772811661,0.8801048553345745,0.12220638138439519,0.8442138853343618,0.9316758692279704
function_recovery_rmse,expected_improvement,1.919724568218328,1.9119857245431615,0.5923929784155683,1.7077394633902212,2.131709673046435
function_recovery_rmse,information_gain,0.8846196925735647,0.8782014342139614,0.12196303486408366,0.8409757810606908,0.9282636040864385
function_recovery_rmse,echo_v0,0.8774491266093876,0.8451033344432424,0.17264889233812583,0.815667513939631,0.9392307392791441
prediction_error,random,0.9685539428201145,0.9073610495883198,0.2674909005762089,0.8728335533737799,1.0642743322664492
prediction_error,uncertainty,0.8879448772811661,0.8801048553345745,0.12220638138439519,0.8442138853343618,0.9316758692279704
prediction_error,expected_improvement,1.919724568218328,1.9119857245431615,0.5923929784155683,1.7077394633902212,2.131709673046435
prediction_error,information_gain,0.8846196925735647,0.8782014342139614,0.12196303486408366,0.8409757810606908,0.9282636040864385
prediction_error,echo_v0,0.8774491266093876,0.8451033344432424,0.17264889233812583,0.815667513939631,0.9392307392791441
parameter_recovery_rmse,random,0.01922488541858094,0.01920748075856834,0.008945683064669096,0.016023713846130952,0.02242605699103093
parameter_recovery_rmse,uncertainty,0.016138007435651965,0.015373721211573552,0.007052034755615453,0.013614469207837435,0.018661545663466495
parameter_recovery_rmse,expected_improvement,0.01480191221055685,0.01344614928525145,0.006643457505344613,0.012424581474027412,0.01717924294708629
parameter_recovery_rmse,information_gain,0.015840815180029066,0.015373721211573552,0.007332166196690221,0.013217033203443723,0.018464597156614408
parameter_recovery_rmse,echo_v0,0.014713861238703711,0.014205869566812326,0.007143983587458624,0.012157419543989169,0.017270302933418254
probe_entropy,random,-1172.5622730357527,-1211.191240665088,138.93574474198977,-1222.2797907758782,-1122.8447552956272
probe_entropy,uncertainty,-1266.7735110851509,-1283.45678818249,165.29033095811823,-1325.921896383278,-1207.6251257870238
probe_entropy,expected_improvement,-1106.6866412546954,-1113.2079927419518,130.3538696183995,-1153.3331744221107,-1060.04010808728
probe_entropy,information_gain,-1266.8170315253672,-1283.45678818249,165.2568079138022,-1325.9534207561499,-1207.6806422945845
probe_entropy,echo_v0,-1281.1206735952521,-1306.0466531058207,158.05336469418154,-1337.6793437752135,-1224.5620034152907
mean_predictive_std,random,0.6275021305662385,0.5894487875662764,0.13977412612656404,0.5774846019006455,0.6775196592318314
mean_predictive_std,uncertainty,0.5642973692410356,0.5030987147922682,0.2553747118650104,0.472912702241868,0.6556820362402032
mean_predictive_std,expected_improvement,1.2559007151252346,1.2675649397259183,0.23029321372776168,1.173491346965853,1.3383100832846162
mean_predictive_std,information_gain,0.5575687587349776,0.5030960881835271,0.2518263489773872,0.46745385708771003,0.6476836603822451
mean_predictive_std,echo_v0,0.5956476804461097,0.5848385364012157,0.24524978805283854,0.5078861709013747,0.6834091899908448
